doc_id,topic,response_text
wrong_doc_1,Шумный документ,Здравствуйте! Спасибо за обращение в службу поддержки интернет-магазина. Для отслеживания заказа перейдите в раздел 'Мои заказы' в личном кабинете. Статус обновляется в течение 2 часов после отправки.
wrong_doc_2,Шумный документ,Добрый день! Благодарим за ваш вопрос. Возврат товара возможен в течение 14 дней после получения при условии сохранения товарного вида и упаковки. Для оформления возврата заполните форму на сайте.
wrong_doc_3,Шумный документ,"Приветствуем! Спасибо, что обратились к нам. Промокод на скидку вводится в корзине перед оформлением заказа. Скидка применяется автоматически к товарам, участвующим в акции."
wrong_doc_4,Шумный документ,Здравствуйте! Благодарим за обращение. Доставка осуществляется в течение 3-7 рабочих дней в зависимости от вашего региона. Трек-номер придёт на указанную почту после отправки.
wrong_doc_5,Шумный документ,Добрый день! Спасибо за ваш вопрос. Оплата при доставке доступна только для курьерской доставки. При самовывозе оплата производится онлайн при оформлении заказа.
wrong_doc_6,Шумный документ,Здравствуйте! Благодарим за обращение. Для выращивания томатов в открытом грунте рекомендуется выбирать солнечное место и регулярно поливать растения под корень. Подвязывайте кусты по мере роста.
wrong_doc_7,Шумный документ,"Добрый день! Спасибо за вопрос. Огурцы лучше всего растут при температуре 22-25 градусов. Поливайте их тёплой водой утром или вечером, избегая попадания на листья."
wrong_doc_8,Шумный документ,"Приветствуем! Спасибо, что обратились к нам. Для борьбы с тлёй на розах используйте мыльный раствор или специальные препараты. Обработку проводите в безветренную погоду."
wrong_doc_9,Шумный документ,Здравствуйте! Благодарим за обращение. Перегной вносят в почву осенью или весной из расчёта 5-7 кг на квадратный метр. Равномерно распределите и перекопайте.
wrong_doc_10,Шумный документ,Добрый день! Спасибо за ваш вопрос. Обрезку плодовых деревьев проводят ранней весной до распускания почек. Удаляйте сухие и повреждённые ветки.
wrong_doc_11,Шумный документ,Здравствуйте! Благодарим за обращение в службу поддержки банка. Для блокировки утерянной карты перейдите в мобильное приложение в раздел 'Карты' → 'Заблокировать'. Операция занимает 1 минуту.
wrong_doc_12,Шумный документ,Добрый день! Спасибо за ваш вопрос. Перевод по номеру телефона доступен в приложении круглосуточно. Комиссия отсутствует для переводов между картами нашего банка.
wrong_doc_13,Шумный документ,"Приветствуем! Спасибо, что обратились к нам. Для восстановления доступа к интернет-банку используйте форму 'Забыли пароль'. Ссылка для сброса придёт на номер телефона, привязанный к карте."
