query,before_retrieved_sources,after_retrieved_sources,changed
а какие форматы у вордовских файлов? docx это а у шаблонов что,"doc_03, doc_02","doc_03, doc_04",True
не могу найти куда в ворде нажать чтобы кнопку добавить на панель,doc_03,doc_03,False
логином комьюнити это бесплатно? зачем оно вообще нужно,"doc_03, doc_01","doc_03, doc_04, doc_01",True
как в логиноме создать новый сценарий и узлы туда добавить,doc_02,doc_02,False
узел красным горит при запуске это ошибка? а зеленый норм,"doc_02, doc_01","doc_02, doc_01",False
в экселе есть специальная вставка там кнопка транспонировать зачем она,"doc_01, doc_02, doc_03","doc_01, doc_02, doc_03",False
как ячейку в экселе поменять если уже написал туда текст,"doc_03, doc_01","doc_03, doc_01",False
панель быстрого доступа в экселе где находится и как ее настроить,"doc_01, doc_02","doc_01, doc_02, doc_04",True
можно ли в экселе строки столбцами поменять местами,doc_01,doc_01,False
в чем разница между pptx и ppsx в поверпоинте,doc_02,"doc_04, doc_02",True
как добавить анимацию на слайд в презентации,"doc_01, doc_02",doc_04,True
