doc_id,topic,response_text
doc_1,Авторизация,"Здравствуйте! Благодарим за обращение в нашу службу поддержки. Для сброса пароля перейдите на страницу входа и нажмите 'Забыли пароль'. Ссылка для восстановления придёт на вашу электронную почту в течение 5 минут. Если письмо не пришло, проверьте папку 'Спам'."
doc_2,Авторизация,"Добрый день! Спасибо, что обратились к нам. Восстановление доступа к аккаунту производится через форму 'Забыли пароль'. Также вы можете отправить запрос в поддержку с указанием email, на который зарегистрирован аккаунт. Обычно это занимает не более 10 минут."
doc_3,Авторизация,"Здравствуйте! Мы получили ваш вопрос. Для входа в личный кабинет используйте email и пароль, указанные при регистрации. Если вы забыли пароль, нажмите кнопку 'Забыли пароль' на странице входа. Ссылка для восстановления будет активна 24 часа."
doc_4,Авторизация,"Приветствуем вас! Спасибо за обращение. Проблемы со входом могут быть связаны с неверным паролем. Рекомендуем сбросить его через форму восстановления. Если ничего не помогает, напишите нам с вашей почты, и мы отправим ссылку для входа вручную."
doc_5,Авторизация,"Добрый день! Благодарим за вопрос. Если вы не можете войти, проверьте правильность раскладки клавиатуры и Caps Lock. Для сброса пароля используйте кнопку 'Забыли пароль'. Новая ссылка придёт на вашу почту в течение нескольких минут."
doc_6,Авторизация,"Здравствуйте! Спасибо, что выбрали нашу платформу. Для восстановления доступа к аккаунту, пожалуйста, перейдите по ссылке 'Забыли пароль' на странице входа. После смены пароля вы сможете войти без проблем. Мы всегда готовы помочь!"
doc_7,Авторизация,"Приветствуем! Рады вашему обращению. Если вы не получаете письмо для сброса пароля, добавьте наш домен в белый список вашего почтового ящика. Также проверьте папку 'Спам' и 'Рассылки'. В крайнем случае, свяжитесь с нами через форму обратной связи."
doc_8,Авторизация,"Здравствуйте! Благодарим за обращение в техподдержку. Для ускорения процесса восстановления пароля, пожалуйста, укажите в ответном письме ваш логин или email, на который зарегистрирован аккаунт. Мы отправим ссылку в течение часа."
doc_9,Оплата,"Здравствуйте! Спасибо за обращение. Оплата обучения производится банковской картой, через СБП или по счёту для юридических лиц. Ссылка на оплату доступна в личном кабинете после выбора курса. Если возникли трудности, напишите нам!"
doc_10,Оплата,"Добрый день! Благодарим за ваш вопрос. Мы принимаем оплату картами Visa, Mastercard, МИР, а также через мобильных операторов и электронные кошельки. Полный список способов оплаты доступен на странице платежа. Если что-то непонятно, мы поможем."
doc_11,Оплата,"Приветствуем! Спасибо, что обратились к нам. Промокод вводится в специальное поле на странице оплаты перед подтверждением платежа. Скидка применяется автоматически. Если промокод не работает, проверьте срок его действия и правильность написания."
doc_12,Оплата,"Здравствуйте! Благодарим за обращение. Возврат средств возможен при обращении в течение 7 дней с момента оплаты при условии, что вы не начали обучение. Для оформления возврата заполните форму в разделе 'Финансы' → 'Возврат'."
doc_13,Оплата,Добрый день! Спасибо за ваш вопрос. Ошибка при оплате обычно связана с недостатком средств на счёте или блокировкой карты банком. Рекомендуем обратиться в ваш банк для уточнения причины. После устранения проблемы попробуйте снова.
doc_14,Оплата,"Здравствуйте! Мы получили ваше сообщение. Задержка зачисления оплаты может составлять до 24 часов в зависимости от банка. Если прошло больше времени, пришлите нам чек или скриншот об успешном списании, и мы проверим статус платежа."
doc_15,Оплата,"Приветствуем! Спасибо, что выбрали нашу платформу. Студенческая скидка предоставляется при подтверждении статуса через международную систему удостоверений ISIC. Размер скидки составляет 30%. Для активации свяжитесь с нами после оплаты полной стоимости."
doc_16,Оплата,"Добрый день! Благодарим за обращение. Вы можете оплатить обучение частями через сервис 'Долями' или 'Сплит'. Для этого на странице оплаты выберите соответствующий способ. Если у вас возникли вопросы, мы с радостью поможем!"
doc_17,Сертификат,Здравствуйте! Спасибо за обращение. Сертификат об обучении выдаётся автоматически после успешного завершения всех модулей и итогового тестирования. Скачать его можно в разделе 'Мои сертификаты' в личном кабинете в формате PDF.
doc_18,Сертификат,Добрый день! Благодарим за вопрос. Для получения сертификата с отличием необходимо набрать средний балл выше 90% по всем тестам и успешно выполнить итоговый проект. Подробные критерии описаны на странице каждого курса. Успехов вам!
doc_19,Сертификат,"Приветствуем! Спасибо, что обратились к нам. Если ваш сертификат не отображается, проверьте, завершены ли все уроки и тесты. Иногда требуется до 24 часов для генерации документа. Если проблема остаётся, напишите нам, и мы проверим ваш прогресс."
doc_20,Сертификат,"Здравствуйте! Благодарим за обращение. Электронный сертификат доступен для скачивания в течение года после завершения курса. Если вы потеряли файл, просто зайдите в личный кабинет и скачайте его снова. Мы храним все сертификаты постоянно."
doc_21,Сертификат,"Добрый день! Спасибо за ваш вопрос. Если в сертификате обнаружена ошибка (например, неверное имя), пожалуйста, напишите нам с указанием правильных данных. Мы сформируем новый сертификат и отправим вам на почту в течение 3 рабочих дней."
doc_22,Сертификат,Здравствуйте! Мы получили ваше сообщение. Сертификат в бумажном виде можно заказать за дополнительную плату. Для этого заполните форму в разделе 'Сертификаты' → 'Заказать бумажную версию'. Доставка осуществляется Почтой России в течение 14 дней.
doc_23,Сертификат,Приветствуем! Спасибо за обращение. Некоторые курсы предполагают выдачу сертификата государственного образца. Это указано в описании курса. Для получения такого сертификата требуется пройти финальную аттестацию в очном формате или онлайн-прокторинг.
doc_24,Сертификат,"Добрый день! Благодарим за вопрос. Сертификат можно скачать на любом устройстве: компьютере, планшете или телефоне. Если файл не открывается, попробуйте обновить страницу или использовать другой браузер. PDF-файлы открываются в любой современной программе."
doc_25,Домашнее задание,"Здравствуйте! Спасибо за обращение. Загрузка домашних заданий производится в разделе 'Домашние задания' через форму прикрепления файлов. Мы поддерживаем форматы .pdf, .docx, .txt и .jpg. Максимальный размер файла — 50 МБ. Если возникли проблемы, напишите нам!"
doc_26,Домашнее задание,"Добрый день! Благодарим за ваш вопрос. Проверка домашних заданий занимает до 3 рабочих дней. Уведомление о результате проверки приходит на вашу электронную почту и в личный кабинет. Если прошло больше времени, пожалуйста, свяжитесь с куратором."
doc_27,Домашнее задание,"Приветствуем! Спасибо, что обратились к нам. Если вы получили низкую оценку за домашнее задание, вы можете загрузить исправленную версию. Количество пересдач не ограничено, но учитывается последняя версия. Желаем успехов в обучении!"
doc_28,Домашнее задание,Здравствуйте! Благодарим за обращение. Итоговый проект загружается в специальную форму в последнем модуле курса. Требования к проекту описаны в методических материалах. Рекомендуем ознакомиться с ними перед началом работы над проектом.
doc_29,Домашнее задание,"Добрый день! Спасибо за ваш вопрос. Если домашнее задание не загружается, проверьте формат и размер файла. Также попробуйте очистить кэш браузера или использовать другой браузер. Если ничего не помогает, напишите нам, и мы поможем решить проблему."
doc_30,Домашнее задание,Здравствуйте! Мы получили ваше сообщение. Для автоматической проверки тестовых заданий результат приходит мгновенно. Для заданий с открытым ответом проверка выполняется куратором. Обычно это занимает 1-2 дня. Спасибо за ваше терпение!
doc_31,Домашнее задание,"Приветствуем! Спасибо за обращение. Если куратор долго не проверяет домашнее задание, возможно, он находится в отпуске. Напишите нам, и мы передадим ваше задание другому проверяющему. Мы ценим ваше время и стараемся отвечать оперативно."
doc_32,Домашнее задание,"Добрый день! Благодарим за вопрос. Рекомендуемый объём итогового проекта — 10-15 страниц. Плагиат проверяется автоматически. Уникальность текста должна быть не менее 70%. Если у вас есть вопросы по оформлению, обратитесь к методическим рекомендациям."
doc_33,Технические проблемы,"Здравствуйте! Спасибо за обращение. Проблемы с воспроизведением видео могут быть связаны с вашим браузером. Рекомендуем использовать последнюю версию Chrome, Firefox, Edge или Safari. Также попробуйте отключить блокировщики рекламы и очистить кэш."
doc_34,Технические проблемы,"Добрый день! Благодарим за вопрос. Если сайт тормозит, проверьте скорость вашего интернет-соединения. Для стабильной работы рекомендуем скорость не менее 10 Мбит/с. Также попробуйте перезагрузить роутер и закрыть лишние вкладки в браузере."
doc_35,Технические проблемы,"Приветствуем! Спасибо, что обратились к нам. Мобильное приложение доступно для iOS и Android. Для установки перейдите в App Store или Google Play. Если приложение вылетает, попробуйте обновить его до последней версии или переустановить."
doc_36,Технические проблемы,"Здравствуйте! Благодарим за обращение. Ошибка 404 означает, что страница не найдена. Попробуйте обновить страницу через 5 минут или вернитесь на главную страницу. Если ошибка повторяется, сообщите нам ссылку, на которую вы пытались перейти."
doc_37,Технические проблемы,"Добрый день! Спасибо за ваш вопрос. Если тест не загружается, проверьте ваше интернет-соединение и попробуйте перезагрузить страницу. Если это не помогло, попробуйте использовать другой браузер или устройство. Мы уже работаем над стабильностью платформы."
doc_38,Технические проблемы,"Здравствуйте! Мы получили ваше сообщение. Белый экран после входа обычно связан с кэшем браузера. Очистите кэш и куки или попробуйте зайти в режиме инкогнито. Также обновите браузер до последней версии. Если не поможет, свяжитесь с нами снова."
doc_39,Технические проблемы,"Приветствуем! Спасибо за обращение. Уведомления не приходят из-за настроек вашего устройства или браузера. Проверьте, разрешены ли уведомления для нашего сайта. Также проверьте папку 'Спам' в вашей почте. Мы отправили тестовое письмо, проверьте его."
doc_40,Технические проблемы,"Добрый день! Благодарим за вопрос. Для работы платформы требуется JavaScript. Проверьте, включён ли он в вашем браузере. Также отключите VPN, если он используется — иногда он блокирует загрузку контента. Если проблема сохраняется, напишите нам."
