q_id,query_text,relevant_docs
q_1,Уважаемая поддержка. Письмо для сброса пароля не приходит уже час. Проверил спам — пусто.,doc_2|doc_6|doc_7
q_2,"Здравствуйте. Не могу войти в личный кабинет, пишет неверный пароль. Помогите восстановить доступ.",doc_1|doc_2|doc_5
q_3,"Не получается зайти в аккаунт, пароль не подходит хотя всё правильно ввожу.",doc_1|doc_5|doc_8
q_4,Привет! забыл пароль что делать подскажите,doc_1|doc_3|doc_6
q_5,"Добрый день. Сменил пароль, теперь вообще не заходит в кабинет. Прошу помощи.",doc_2|doc_5|doc_7
q_6,"Восстановил пароль по ссылке из письма, но ссылка говорит что истекла. Что делать?",doc_3|doc_4|doc_6
q_7,я не помню логин вообще куда нажимать,doc_1|doc_4|doc_8
q_8,"Уважаемая техподдержка. Аккаунт заблокировали после трёх неудачных попыток входа. Разблокируйте, пожалуйста.",doc_4|doc_5|doc_8
q_9,Через сколько минут приходит письмо для сброса пароля? Жду уже 20 минут.,doc_1|doc_2|doc_7
q_10,немогу зайти потму что пишет ошибка доступа,doc_1|doc_4|doc_5
q_11,"Уважаемые. Оплатил обучение картой, деньги списали, а курс не открылся. Что делать?",doc_9|doc_12|doc_14
q_12,"Добрый день. Подскажите, как оплатить через СБП?",doc_9|doc_10|doc_15
q_13,"Ввёл промокод, а скидка не применилась. Проверьте пожалуйста.",doc_11|doc_13|doc_15
q_14,аплатил дважды верните деньги,doc_12|doc_13|doc_16
q_15,Уважаемая поддержка. Оплатил дважды по ошибке. Как вернуть лишние деньги?,doc_12|doc_13|doc_16
q_16,"Карта отклоняется при оплате, хотя деньги на счёте есть. В чём проблема?",doc_9|doc_13|doc_15
q_17,скидку студенческую дайте яж студент,doc_10|doc_14|doc_16
q_18,Здравствуйте. Можно ли оплатить обучение частями или в рассрочку?,doc_9|doc_12|doc_16
q_19,Через сколько времени зачисляется оплата? Прошло уже 5 часов.,doc_14|doc_15|doc_16
q_20,"Добрый день. Мы юридическое лицо, нужен счёт на оплату. Кто его выставляет?",doc_9|doc_11|doc_15
q_21,"Здравствуйте. Прошёл все тесты и модули, а сертификат не появился. Где его искать?",doc_17|doc_19|doc_23
q_22,Уважаемая поддержка. Сертификат с отличием выдаётся автоматически или его нужно отдельно запрашивать?,doc_18|doc_21|doc_22
q_23,Как скачать сертификат с телефона? Не могу найти кнопку.,doc_17|doc_20|doc_24
q_24,сертифкат нескачивается с телефона помогите пж,doc_17|doc_20|doc_24
q_25,Добрый вечер. В сертификате напечатали фамилию с ошибкой. Как это исправить?,doc_21|doc_22|doc_24
q_26,"Сертификат не открывается, пишет что файл повреждён.",doc_17|doc_20|doc_24
q_27,Здравствуйте. Когда придёт бумажный сертификат? Заказывал две недели назад.,doc_22|doc_23|doc_24
q_28,Чем отличается сертификат государственного образца от обычного?,doc_18|doc_23|doc_24
q_29,Потерял сертификат об обучении. Можно восстановить?,doc_17|doc_20|doc_21
q_30,в сертификате имя неправильно написали исправьте,doc_21|doc_22|doc_24
q_31,"Уважаемая поддержка. Загрузил домашнее задание в pdf, но оно не отображается в системе. Что делать?",doc_25|doc_29|doc_30
q_32,"Не могу загрузить домашнее задание, потому что сайт вылетает при выборе файла.",doc_25|doc_29|doc_35|doc_36
q_33,Добрый день. Сколько проверяется домашнее задание? Уже 5 дней тишина.,doc_26|doc_30|doc_31
q_34,"Получил двойку за домашнее задание, но я старался. Можно пересдать?",doc_27|doc_29|doc_32
q_35,"Здравствуйте. Проверяющий сказал что мой файл битый, но у меня на компьютере он открывается. Как быть?",doc_25|doc_29|doc_30
q_36,Куда прикреплять итоговый проект? Не вижу форму загрузки.,doc_27|doc_28|doc_31
q_37,Какой объём должен быть у итогового проекта? 10 страниц хватит?,doc_28|doc_31|doc_32
q_38,домашку загрузила аона несохранилась чё делать,doc_25|doc_29|doc_30
q_39,Уважаемые. Куратор не проверяет домашку уже неделю. Что делать?,doc_26|doc_30|doc_31
q_40,"Уникальность моего проекта 68%, система не пропускает. Как повысить уникальность?",doc_28|doc_31|doc_32
q_41,"Уважаемая поддержка. Видео лекции не загружается, крутится бесконечно. Что делать?",doc_33|doc_34|doc_37
q_42,"Не открывается тест, кнопка 'Начать' не нажимается.",doc_35|doc_37|doc_38
q_43,Добрый день. Сайт сильно тормозит при открытии курса.,doc_33|doc_34|doc_38
q_44,Приложение на телефоне вылетает при попытке открыть тест.,doc_35|doc_36|doc_39
q_45,видео негрузицо ваще белыйэкран,doc_33|doc_34|doc_37
q_46,Здравствуйте. Пишет ошибка 404 при переходе на страницу курса.,doc_36|doc_37|doc_39
q_47,"Звука нет в лекции, хотя на других сайтах всё работает.",doc_33|doc_34|doc_40
q_48,Уважаемые. Белый экран после входа в личный кабинет. Что делать?,doc_34|doc_38|doc_40
q_49,"Браузер говорит что версия устарела, но я обновлял его на днях.",doc_33|doc_37|doc_40
q_50,уведомления неприходят на почту чё сделать,doc_34|doc_39|doc_40
q_51,"Уважаемая поддержка. Оплатил курс, деньги списали, но в личный кабинет не могу войти — пароль не подходит.",doc_1|doc_5|doc_9|doc_12
q_52,"Прошёл курс, сертификат не пришёл. И ещё в одном тесте была техническая ошибка.",doc_17|doc_19|doc_33|doc_37
q_53,"Хочу скачать сертификат, но не могу загрузить домашнее задание для завершения курса.",doc_17|doc_25|doc_29
q_54,при оплате вылетела ошибка деньги списали дважды поддержка не отвечает,doc_9|doc_12|doc_13|doc_35
q_55,"Уважаемые. Не могу сдать итоговый проект, потому что видео с лекцией не грузится, а там объяснение.",doc_27|doc_28|doc_33|doc_34
q_56,"Забыл пароль, восстановил, но сертификат из личного кабинета пропал после смены пароля.",doc_1|doc_2|doc_17|doc_20
q_57,"Купил курс со скидкой по промокоду, но после оплаты скидка пропала и доступ не открылся.",doc_9|doc_11|doc_13|doc_15
q_58,Здравствуйте. Не могу загрузить домашнее задание и видео тоже не грузится. Что за проблемы?,doc_25|doc_29|doc_33|doc_34
q_59,"Добрый день. Оплатил подписку на год, но доступ к курсам закрыли через месяц. Где мои деньги?",doc_9|doc_12|doc_14|doc_16
q_60,"Потерял доступ к почте, на которую регистрировался. Как восстановить аккаунт?",doc_1|doc_2|doc_4|doc_7
q_61,"Уважаемая поддержка. Ссылка для восстановления пароля пришла, но когда нажимаю на неё — пишет 'недействительная ссылка'.",doc_3|doc_4|doc_7
q_62,Сколько попыток ввода пароля даётся до блокировки?,doc_1|doc_4|doc_5
q_63,"Поменял почту в профиле, теперь не могу войти со старыми данными.",doc_2|doc_5|doc_6
q_64,привет подскажите как зайти если забыл пороль,doc_1|doc_2|doc_3
q_65,Добрый вечер. Не приходит письмо для подтверждения смены пароля.,doc_2|doc_6|doc_7
q_66,Уважаемые. При попытке оплаты пишет 'транзакция отклонена банком'. Банк говорит что всё ок.,doc_9|doc_13|doc_15
q_67,Как получить чек об оплате за прошлый месяц? В личном кабинете не вижу истории.,doc_12|doc_14|doc_16
q_68,Можно ли оплатить курс в рассрочку на 3 месяца без процентов?,doc_9|doc_12|doc_16
q_69,промокод неработает чё сделать,doc_11|doc_13|doc_15
q_70,Здравствуйте. Сколько действует электронный сертификат? Он не сгорает через год?,doc_17|doc_20|doc_24
